Player Name,Profile URL,Player Region
"bang
SEN",https://www.vlr.gg/player/3880/bang,na
"gMd
TSM",https://www.vlr.gg/player/64/gmd,na
Azulite,https://www.vlr.gg/player/36207/azulite,na
"venture
MR",https://www.vlr.gg/player/5157/venture,na
"thief
YFP",https://www.vlr.gg/player/69/thief,na
"stare
Wind",https://www.vlr.gg/player/19618/stare,na
"shifty
FREE",https://www.vlr.gg/player/6465/shifty,na
"Probably
TAMU",https://www.vlr.gg/player/31821/probably,na
"geeza
MU",https://www.vlr.gg/player/12932/geeza,na
"cath
VEL",https://www.vlr.gg/player/3073/cath,na
shy,https://www.vlr.gg/player/38749/shy,na
"cp2
RNG",https://www.vlr.gg/player/54/cp2,na
"Jerk
WU",https://www.vlr.gg/player/765/jerk,na
"bjor
MAD",https://www.vlr.gg/player/418/bjor,na
"exa
T1A",https://www.vlr.gg/player/30556/exa,na
"thwifo
100T",https://www.vlr.gg/player/625/thwifo,na
Huji,https://www.vlr.gg/player/32459/huji,na
"pl1xx
WOL",https://www.vlr.gg/player/871/pl1xx,na
"Ethan
NRG",https://www.vlr.gg/player/11225/ethan,na
"JonahP
G2",https://www.vlr.gg/player/4581/jonahp,na
"ZK
MU",https://www.vlr.gg/player/753/zk,na
Ethan,https://www.vlr.gg/player/12913/ethan,na
"dynamic
TOR",https://www.vlr.gg/player/8746/dynamic,na
"Kaoticcc
SaD",https://www.vlr.gg/player/4917/kaoticcc,na
"Jazzyk1ns
PP",https://www.vlr.gg/player/3077/jazzyk1ns,na
"sonder
FLY.R",https://www.vlr.gg/player/8849/sonder,na
"Fair
SCC",https://www.vlr.gg/player/30743/fair,na
"zaj
ASTA",https://www.vlr.gg/player/41550/zaj,na
"bao
LS",https://www.vlr.gg/player/41877/bao,na
"xprt
NA",https://www.vlr.gg/player/3256/xprt,na
"Andersin
BTR",https://www.vlr.gg/player/1089/andersin,na
"nightz
ASTA",https://www.vlr.gg/player/41798/nightz,na
"effys
SR",https://www.vlr.gg/player/65/effys,na
"tokyo
ROSE",https://www.vlr.gg/player/3683/tokyo,na
"dizzyLife
SQ",https://www.vlr.gg/player/874/dizzylife,na
"Rossy
C9",https://www.vlr.gg/player/1129/rossy,na
"Bankroft
Tact",https://www.vlr.gg/player/1930/bankroft,na
"Entri
Inst",https://www.vlr.gg/player/22920/entri,na
"Core
IluZ",https://www.vlr.gg/player/19288/core,na
"xann
KS",https://www.vlr.gg/player/37923/xann,na
"anders
IU",https://www.vlr.gg/player/36251/anders,na
"Kanpeki
TWT",https://www.vlr.gg/player/848/kanpeki,na
"ScrewFace
AMB",https://www.vlr.gg/player/3227/screwface,na
"evy
Cudd",https://www.vlr.gg/player/27688/evy,na
"KING VINNY
99S",https://www.vlr.gg/player/26475/king-vinny,na
konoxians,https://www.vlr.gg/player/14388/konoxians,na
"Lin
YFP",https://www.vlr.gg/player/5190/lin,na
"ban
TLN",https://www.vlr.gg/player/5129/ban,na
"renz
MU",https://www.vlr.gg/player/2119/renz,na
"pashab
CSUF",https://www.vlr.gg/player/32267/pashab,na
"C0M
LEV",https://www.vlr.gg/player/619/c0m,na
"Wizdran
CSUF",https://www.vlr.gg/player/44459/wizdran,na
"SaucetiN
TMA",https://www.vlr.gg/player/3183/saucetin,na
"Instxnct
LF8",https://www.vlr.gg/player/10060/instxnct,na
"fletcher
RESO",https://www.vlr.gg/player/3968/fletcher,na
puffy panda,https://www.vlr.gg/player/44405/puffy-panda,na
"Okeanos
BLIN",https://www.vlr.gg/player/8373/okeanos,na
"lazylion
DSG",https://www.vlr.gg/player/26188/lazylion,na
"moobs
WU",https://www.vlr.gg/player/9017/moobs,na
"GaryDaSnail
Non-",https://www.vlr.gg/player/36037/garydasnail,na
BlissfulDeer,https://www.vlr.gg/player/8528/blissfuldeer,na
"gabersenn
New",https://www.vlr.gg/player/25865/gabersenn,na
"Jonaaa6
FAIM",https://www.vlr.gg/player/3687/jonaaa6,na
Jivy,https://www.vlr.gg/player/25154/jivy,na
"jeffie
ROSE",https://www.vlr.gg/player/26386/jeffie,na
"Shondex
Blue",https://www.vlr.gg/player/25902/shondex,na
"curry
SEN",https://www.vlr.gg/player/6584/curry,na
"Timotino
ROSE",https://www.vlr.gg/player/29893/timotino,na
"ZerG
TI",https://www.vlr.gg/player/185/zerg,na
"traekS
KGG",https://www.vlr.gg/player/6466/traeks,na
"Marved
NRG",https://www.vlr.gg/player/263/marved,na
"Noia
SR",https://www.vlr.gg/player/17397/noia,na
"KHS
MORB",https://www.vlr.gg/player/16029/khs,na
"dip
SAD",https://www.vlr.gg/player/8397/dip,na
Andrew,https://www.vlr.gg/player/28403/andrew,na
"nillyaz
TWT",https://www.vlr.gg/player/8537/nillyaz,na
Vyx,https://www.vlr.gg/player/32138/vyx,na
"valyn
G2",https://www.vlr.gg/player/3885/valyn,na
Jackk,https://www.vlr.gg/player/44842/jackk,na
"JULIA
SNG",https://www.vlr.gg/player/11962/julia,na
